title,artist,genre,bpm,enrgy,dance,dB,live,val,dur,acous,spch,pop
Without You My Love (Trivecta Remix),Seven Lions,dubstep,138,92,45,-3,20,21,289,3,8,37
In My Head,Last Heroes,future bass,150,73,52,-6,9,26,218,8,4,37
Back Together,William Black,bass trap,144,70,54,-5,10,23,212,13,4,36
Good Things Fall Apart (with Jon Bellion) [3LAU Remix],ILLENIUM,edm,144,81,63,-4,16,37,210,0,3,36
Love U Right,Tritonal,big room,128,59,62,-4,64,75,201,45,6,36
Potions - William Black Remix,SLANDER,dubstep,150,57,56,-9,11,20,213,43,4,33
In Your Arms (with X Ambassadors) [ARMNHMR Remix],ILLENIUM,edm,145,75,25,-4,15,22,220,4,4,33
Faded,Said the Sky,chillstep,95,75,63,-5,12,50,200,20,3,33
Passing Through (feat. Trove),Last Heroes,future bass,130,76,50,-6,12,9,218,4,4,32
Tie Me Down (with Elley Duhé) - Steve Aoki Remix,Gryffin,dance pop,110,79,72,-4,20,37,190,9,7,20
